taskName,Bucket Name,Category,Progress,Priority,Start Date,Due Date,Assigned To,Notes,Content Type,Created By,Modified By,,
Quotation for New Laptops,UNASSIGNED/I don't know who to assign,Not started,Medium,high,5/28/2024,4/30/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Employees Shift Timings Details Acquired from Employees,UNASSIGNED/I don't know who to assign,In progress,Medium,high,5/29/2024,5/1/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
TCS Onboarding,Projects,Not started,Low,low,5/30/2024,5/2/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Nexus 5596 OS Upgradation,VET,Not started,Medium,low,5/31/2024,5/3/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Pre-Survey Wireless Questionnaire,WAD,In progress,Medium,low,6/1/2024,5/4/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
TRU Cameras Setup ,ENCS - IT,In progress,Medium,low,6/2/2024,5/5/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Build the sharepoint site for this planner,Trainings & Certification,Not started,Medium,low,6/3/2024,5/6/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Planner KT session,Trainings & Certification,In progress,Important,low,6/4/2024,5/7/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Power App for ENCS,WAD,Not started,Medium,low,6/5/2024,5/8/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PTR - MSP contract,WAD,Not started,Medium,low,6/6/2024,5/9/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
FW: [External]PCN Form Project | Tracker |,WAD,In progress,Important,low,6/7/2024,5/10/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Benz Enhancement Request,WAD,In progress,Important,low,6/8/2024,5/11/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
All O365 apps review for ENCS,ENCS - IT,Not started,Medium,low,6/9/2024,5/12/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
End user device and access || Revamp || Restructuring ,ENCS - IT,Not started,Important,low,6/10/2024,5/13/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Organise the MS bundle for more productivity,Trainings & Certification,In progress,Medium,low,6/11/2024,5/14/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
SEO Updates,Meetings,In progress,Important,low,6/12/2024,5/15/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
License understanding and planning,ENCS - IT,In progress,Important,low,6/13/2024,5/16/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Back-up of ENCS services & critical devices,Day to Day,Not started,Important,low,6/14/2024,5/17/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Health check || IPG-MSA,ENCS - MSP,Not started,Medium,low,6/15/2024,5/18/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Service delivery meeting with VET PMs,SALES,Not started,Medium,low,6/16/2024,5/19/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
"Power cycle || ENCS Pakistan office || UPS, Generator, Main power source",Health Checks,In progress,Important,low,6/17/2024,5/20/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
ENCS || End user devices || Health check,Health Checks,Not started,Important,low,5/25/2024,5/21/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
ENCS || Server & Services || Health check ,Health Checks,Not started,Medium,low,5/25/2024,5/22/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
ENCS || Network $ Security || Health check ,Health Checks,In progress,Important,low,5/26/2024,5/23/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
AD Account Creation | Assign License,ENCS - IT,Completed,Medium,low,5/27/2024,5/24/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
AD Integration || MS Teams,ENCS - IT,Completed,Medium,low,5/28/2024,5/25/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Binary Code Internet Access,ENCS - IT,Completed,Medium,low,5/29/2024,5/26/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Appraisal form brainstorming,WAD,Completed,Medium,low,5/30/2024,5/27/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PTR | Appraisal | Power App,WAD,Completed,Medium,low,5/31/2024,5/28/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Weekly Work Report,VET,Completed,Medium,low,7/1/2024,5/29/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/2/2024,5/30/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC VULS Remediation,VET,Completed,Medium,low,7/3/2024,5/31/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/4/2024,6/1/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/5/2024,6/2/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/6/2024,6/3/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Weekly Work Report 06-10-2023,VET,Completed,Medium,low,7/7/2024,6/4/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/8/2024,6/5/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
INTs Raised for GCC VULs,VET,Completed,Medium,low,7/9/2024,6/6/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC VULs Remediation,VET,Completed,Medium,low,7/10/2024,6/7/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULS Remediation,VET,Completed,Medium,low,7/11/2024,6/8/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC VULS Remediation,VET,Completed,Medium,low,7/12/2024,6/9/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/13/2024,6/10/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC VULS Remediation,VET,Completed,Medium,low,7/14/2024,6/11/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
INT raised in GCC,VET,Completed,Medium,low,7/15/2024,6/12/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULS Remediation,VET,Completed,Medium,low,7/16/2024,6/13/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC Incidents Raised,VET,Completed,Medium,low,7/17/2024,6/14/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC VULs Remediation,VET,Completed,Medium,low,7/18/2024,6/15/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs Remediation,VET,Completed,Medium,low,7/19/2024,6/16/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCS VULs remediation,VET,Completed,Medium,low,7/20/2024,6/17/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC INTs Creation,VET,Completed,Medium,low,7/21/2024,6/18/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
GCC VULs Remediation,VET,Completed,Medium,low,7/22/2024,6/19/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Three sites integration using Power BI,WAD,Completed,Medium,low,7/23/2024,6/20/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Updates logs for PCN progress,WAD,Completed,Medium,low,7/24/2024,6/21/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN SharePoint Site creation + Project Tracker,WAD,Completed,Medium,low,7/25/2024,6/22/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN Guest User Access,WAD,Completed,Medium,low,7/26/2024,6/23/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN Changes brand fields || all over the APP,WAD,Completed,Medium,low,7/27/2024,6/24/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN file relocate flow for the forms,WAD,Completed,Medium,low,7/28/2024,6/25/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PTR PCN flow for Changes folder relocation,WAD,Completed,Medium,Mid,7/29/2024,6/26/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Set Waleed PC DNS setting for Benz,WAD,Completed,Medium,Mid,7/30/2024,6/27/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Added Mohsin into sharing is caring site,WAD,Completed,Medium,Mid,9/1/2024,6/28/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Health check report for ENCS Website,WAD,Completed,Medium,Mid,9/2/2024,6/29/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Conduct interview for Golang developer,WAD,Completed,Medium,Mid,9/3/2024,6/30/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Golang code review and verification,WAD,Completed,Medium,Mid,9/4/2024,7/1/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
|| All Managers Meeting ||,Day to Day,Completed,Medium,Mid,9/5/2024,7/2/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,
VET || Projects || Access Request,Day to Day,Completed,Medium,Mid,9/6/2024,7/3/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,
Meeting with PTR PCN,WAD,Completed,Medium,Mid,9/7/2024,7/4/2024,haseebjutt,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,
Conduct interview for Golang developer,WAD,Completed,Medium,Mid,9/8/2024,7/5/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,2-Feb
Power BI dashboard Demo version,WAD,Completed,Medium,Mid,9/9/2024,7/6/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,3-Mar
Custom flow change PCN,WAD,Completed,Medium,Mid,9/10/2024,7/7/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,7-May
PCN Requirements | Flow chnages,WAD,Completed,Medium,Mid,9/11/2024,7/8/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,2-Feb
GoLang JD and Apply Form fro ENCS Careers,WAD,Completed,Medium,Mid,9/12/2024,7/9/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,4-Apr
Task Creation | PDF for GoLang JD ,WAD,Completed,Medium,Mid,9/13/2024,7/10/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,Hanif Bahadur,
PTR Production Activity,WAD,Completed,Medium,Mid,9/14/2024,7/11/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Document Resizing to A3,MARKETING,Completed,Medium,Mid,9/15/2024,7/12/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
passport size photo - Humair,MARKETING,Completed,Medium,Mid,9/16/2024,7/13/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Job posting on LinkedIn namely Golang Developer,MARKETING,Completed,Important,Mid,9/17/2024,7/14/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PTR Staging Activity | Analytics,WAD,Completed,Medium,Mid,9/18/2024,7/15/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN Powershell comands,WAD,Completed,Medium,Mid,9/19/2024,7/16/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN Dropdown navigation,WAD,Completed,Medium,Mid,9/20/2024,7/17/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN Requirements Leave Tab,WAD,Completed,Medium,Mid,9/21/2024,7/18/2024,Kazmain,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PTR PCN Meeting,WAD,Completed,Medium,Mid,9/22/2024,7/19/2024,Hanif bahadur,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Power Bi dashboard update,WAD,Completed,Medium,Mid,9/23/2024,7/20/2024,Hanif bahadur,fine,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Website Database Button,WAD,Completed,Medium,Mid,9/24/2024,7/21/2024,Hanif bahadur,good,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PCN Azure Activity,WAD,Completed,Medium,Mid,9/25/2024,7/22/2024,Hanif bahadur,good,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
PTR staging Activity,WAD,Completed,Medium,Mid,9/26/2024,7/23/2024,Hanif bahadur,good,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
